epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4396.39,1.01755,0.57313,0.00666,0.86518,0.72774,0.81486,0.60015,1.18548,0.95906,0.00803,0.000165886,0.000165886,0.000165886
68,4465.75,1.00078,0.5416,0.0063,0.87594,0.72265,0.8198,0.60254,1.181,0.95592,0.00767,0.000146229,0.000146229,0.000146229
69,4534.42,0.98358,0.54493,0.00621,0.8357,0.73791,0.8175,0.60183,1.17376,0.97219,0.00745,0.000127904,0.000127904,0.000127904
70,4600.78,0.99581,0.56673,0.00624,0.87158,0.71756,0.8172,0.60237,1.17165,0.97176,0.00732,0.000110938,0.000110938,0.000110938
71,4661,0.96874,0.52358,0.00604,0.84784,0.74046,0.82027,0.6046,1.17804,0.96936,0.00757,9.53593e-05,9.53593e-05,9.53593e-05
72,4724.51,0.96598,0.5391,0.00594,0.84173,0.73791,0.8173,0.60293,1.16098,0.97887,0.00728,8.11906e-05,8.11906e-05,8.11906e-05
73,4789.72,0.97395,0.52527,0.00591,0.86135,0.72774,0.81625,0.60402,1.159,0.99093,0.00728,6.8454e-05,6.8454e-05,6.8454e-05
74,4858.12,0.96613,0.54476,0.00593,0.86343,0.72393,0.81378,0.60071,1.15798,0.99062,0.00726,5.71693e-05,5.71693e-05,5.71693e-05
75,4924.78,0.96279,0.53911,0.00596,0.84933,0.73155,0.81649,0.60865,1.15337,0.98043,0.00737,4.73538e-05,4.73538e-05,4.73538e-05
76,4990.72,0.9706,0.53913,0.00584,0.83104,0.75064,0.81694,0.60755,1.15704,0.98035,0.00734,3.90226e-05,3.90226e-05,3.90226e-05
77,5058.81,0.96438,0.52696,0.00586,0.83681,0.74046,0.81513,0.60765,1.14858,0.99472,0.00717,3.21885e-05,3.21885e-05,3.21885e-05
78,5136.78,0.96721,0.51181,0.00587,0.84514,0.743,0.81945,0.60979,1.15003,0.98097,0.00727,2.68622e-05,2.68622e-05,2.68622e-05
79,5199.06,0.96539,0.54052,0.00592,0.84019,0.74809,0.81815,0.61088,1.14418,0.98771,0.0071,2.30518e-05,2.30518e-05,2.30518e-05
80,5268.23,0.96455,0.53071,0.00606,0.86431,0.72938,0.81737,0.60944,1.14671,0.99383,0.00729,2.07633e-05,2.07633e-05,2.07633e-05
